place,year,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
Iporo,2024,Oye,Ekiti,6.424946785,1460,19
Iranyin,2024,Surulere,Oyo,5.600771427,1851,98
Irele,2024,Irele,Ondo,7.806624889,186,32
Iri,2024,Rijau,Niger,3.487096071,1550,73
Irrua,2024,Esan Central,Edo,9.122743607,1872,78
ISA,2024,Isa,Sokoto,3.452994823,1683,44
Isampo,2024,Bomadi,Delta,7.356981277,1864,83
Isanlu-Esa,2024,Yagba West,Kogi,5.810844898,1807,40
Ise,2024,Ise/Orun,Ekiti,7.789014816,852,13
ISEYIN,2024,Iseyin,Oyo,4.965233326,1561,61
Ishaga,2024,Oshodi-Isolo,Lagos,6.679419041,302,78
Itapa,2024,Oye,Ekiti,7.087162495,707,31
Itas,2024,Itas/Gadau,Bauchi,3.519016266,1473,14
Itobe,2024,Ofu,Kogi,8.82216835,1304,95
Iwerekun,2024,Ibeju-Lekki,Lagos,6.85283947,1800,26
IWO,2024,Iwo,Osun,5.916106224,224,73
Iyahe,2024,Yala,Cross River,7.67205286,1139,64
Izge Rana,2024,Gwoza,Borno,1.570108652,1415,95
Izom,2024,Gurara,Niger,6.319144726,332,8
J. Abdullahi,2024,Bali,Taraba,4.639798164,239,6
Jada,2024,Jada,Adamawa,3.376809597,676,34
Jajibiriri,2024,Yunusari,Yobe,1.666760206,425,83
Jakusko,2024,Jakusko,Yobe,2.688679695,1569,40
Jalam,2024,Damban,Bauchi,2.41968298,1695,31
JALINGO,2024,Jalingo,Taraba,3.460680962,1196,38
JAMAARE,2024,Jama'are,Bauchi,3.398072004,614,75
Jambako,2024,Maradun,Zamfara,3.712852955,594,93
Jarang,2024,Mayo Belwa,Adamawa,3.241831779,414,23
Jarmowo,2024,Giade,Bauchi,2.987405062,1313,57
JEBBA,2024,Moro,Kwara,3.830665112,522,82
Jega,2024,Jega,Kebbi,3.115847826,951,60
Jege,2024,Yagba East,Kogi,6.976184845,239,97
Jen,2024,Lau,Taraba,2.629588127,176,78
Jere,2024,Kagarko,Kaduna,5.690935135,447,22
Jiberu,2024,Girei,Adamawa,2.110948801,1735,32
Jibiya,2024,Jibia,Katsina,4.323970795,620,89
Jilli,2024,Gubio,Borno,2.210482121,341,68
Jima,2024,Gbako,Niger,5.404526234,1277,12
Jimeta,2024,Yola North,Adamawa,2.348613501,994,34
Jinjere,2024,Kogi,Kogi,8.387265205,1848,91
JOS,2024,Jos North,Plateau,4.606708527,425,6
KABBA,2024,Kabba/Bunu,Kogi,7.937204361,277,97
Kabogi,2024,Mashegu,Niger,3.824996233,890,76
Kachako,2024,Takai,Kano,3.956113577,510,30
Kachia,2024,Kachia,Kaduna,5.542106152,211,81
Kadagiwa,2024,Wurno,Sokoto,3.31709528,771,29
Kadaura,2024,Birnin Gwari,Kaduna,4.593561649,670,42
Kade,2024,Shanga,Kebbi,3.142983198,1934,19
KADUNA,2024,Kaduna North,Kaduna,5.330358028,723,96
KAFANCHAN,2024,Jema'a,Kaduna,5.951673508,1704,72
Kafin,2024,Paikoro,Niger,5.798378944,1766,76
Kagarko,2024,Kagarko,Kaduna,5.533936977,366,95
Kaiama,2024,Kaiama,Kwara,2.712471962,1429,12
Kaingwa,2024,Arewa,Kebbi,2.64061904,548,5
Kainyehu,2024,Toto,Nasarawa,8.542779922,539,98
Kajiji,2024,Shagari,Sokoto,2.962666988,652,78
Kakangi,2024,Birnin Gwari,Kaduna,3.595151186,1753,92
Kala Kafra,2024,Kala/Balge,Borno,1.03661406,1285,92
Kalgo,2024,Kalgo,Kebbi,2.853543758,1960,51
Kali,2024,Borgu,Niger,3.216350079,469,53
Kalmai,2024,Billiri,Gombe,2.861488342,1426,86
Kamba,2024,Dandi,Kebbi,2.615613222,855,44
KANGI,2024,Shanga,Kebbi,3.469839811,929,25
Kankara,2024,Kankara,Katsina,4.896529198,1627,17
Kankiya,2024,Kankia,Katsina,4.330337524,1172,62
Kanya Baba,2024,Babura,Jigawa,4.377479553,767,40
Karagu,2024,Yunusari,Yobe,1.710970402,1224,27
Karama,2024,Gagarawa,Jigawa,3.988738298,1262,63
Karauchi,2024,Maru,Zamfara,3.998312473,318,33
Karaye,2024,Karaye,Kano,4.787279606,1706,16
Kare,2024,Fika,Yobe,2.534021854,501,46
Kariari,2024,Bursari,Yobe,2.197644472,958,59
Karim Lamido,2024,Karim-Lamido,Taraba,3.039075136,1286,11
Karo,2024,Mokwa,Niger,3.376595736,506,14
Karshi,2024,Abuja Municipal,Federal Capital Territory,6.949046135,325,85
Karunji,2024,Baruten,Kwara,2.241709232,934,92
Kataergi,2024,Katcha,Niger,5.532545567,1680,44
Katagum,2024,Zaki,Bauchi,3.044840097,1850,23
Katami,2024,Silame,Sokoto,2.321125269,223,12
Katamma,2024,Jakusko,Yobe,2.333412409,466,18
KATSINA,2024,Katsina,Katsina,3.63226819,1133,8
KATSINA ALA,2024,Katsina Ala,Benue,7.596797943,1219,60
Kaugama,2024,Kaugama,Jigawa,3.3404603,119,88
Kaura Namoda,2024,Kaura Namoda,Zamfara,3.740550518,1092,68
Kazaure,2024,Kazaure,Jigawa,4.187063217,1175,48
Keana,2024,Keana,Nasarawa,7.154955864,1419,90
Kebbe,2024,Kebbe,Sokoto,3.614395618,1517,79
KEFFI,2024,Keffi,Nasarawa,6.696145535,322,84
Keffin Hausa,2024,Kafin Hausa,Jigawa,3.652278662,993,78
Kembu,2024,Ngaski,Kebbi,3.264488697,1827,77
Kende,2024,Bagudo,Kebbi,3.281141043,509,96
Kenu,2024,Baruten,Kwara,2.858560801,215,67
Kerun,2024,Bukkuyum,Zamfara,3.871438503,781,29
Kesangala,2024,Nganzai,Borno,0.944574058,121,15
Kilogbe,2024,Baruten,Kwara,2.715086699,1688,7
Kinsha,2024,Gamawa,Bauchi,2.79107666,1351,16
Kiri,2024,Shelleng,Adamawa,2.190868378,1737,45
Kirikasama,2024,Kiri Kasama,Jigawa,3.155788422,1951,59
KISHI,2024,Irepo,Oyo,3.424675941,1558,85
Kiyawa,2024,Kiyawa,Jigawa,3.910167694,346,30
Kogin Baba,2024,Toungo,Adamawa,4.510394096,965,58
KOKO,2024,Shanga,Kebbi,2.932767868,1598,53
Kokori,2024,Ethiope East,Delta,7.414009094,1238,20
Kokuwa,2024,Gulani,Yobe,2.24912858,228,61
Kombo,2024,Balanga,Gombe,2.567929745,1792,16
Konduga,2024,Konduga,Borno,1.382616282,1589,32
Konkul,2024,Maiha,Adamawa,1.072665811,1489,6
Konkwesso,2024,Borgu,Niger,2.446239948,1318,87
KONTAGORA,2024,Kontagora,Niger,3.2613585,410,17
Kotonkoro,2024,Mariga,Niger,3.750007391,674,50
Kubacha,2024,Kagarko,Kaduna,6.243373871,1319,26
Kubli,2024,Borgu,Niger,2.205111504,466,65
Kudan,2024,Kudan,Kaduna,4.148125172,944,69
Kujakwa,2024,Kuje,Federal Capital Territory,7.206750393,817,15
Kuje,2024,Abuja Municipal,Federal Capital Territory,6.541249752,929,74
Kukawa,2024,Kukawa,Borno,1.146710038,1314,79
Kumagunnam,2024,Yusufari,Yobe,2.689262867,449,56
Kumshe,2024,Bama,Borno,0.724135876,684,65
Kumuo,2024,Shira,Bauchi,3.573685408,971,96
Kunchi,2024,Kunchi,Kano,4.807114601,323,52
Kunya,2024,Minjibir,Kano,4.219459534,1442,43
Kura,2024,Kura,Kano,4.507228374,1727,30
Kurama Suko,2024,Fakai,Kebbi,3.322291136,671,10
Kurdula,2024,Gudu,Sokoto,1.85884881,1381,67
Kurfi,2024,Kurfi,Katsina,3.978293419,623,66
Kurua,2024,Tureta,Sokoto,3.679494619,574,97
Kurugin Maidowa,2024,Mariga,Niger,4.513487816,1240,79
Kurukuru,2024,Sabon Birni,Sokoto,2.613563299,792,39
Kusheriki,2024,Rafi,Niger,3.883080959,273,64
Kutigi,2024,Lavun,Niger,4.814061642,1332,12
Kutiluko,2024,Agaie,Niger,6.08641243,354,21
Kutiwenji,2024,Lavun,Niger,4.579583168,438,9
Kwadaga,2024,Birnin Gwari,Kaduna,4.343158722,1012,46
Kwajaffa Babur,2024,Hawul,Borno,0.729831755,1283,31
Kwali,2024,Kwali,Federal Capital Territory,6.873844147,742,27
Kware,2024,Kware,Sokoto,3.317402601,1336,54
Kwiambana,2024,Maru,Zamfara,3.82053256,1783,52
Kwolla,2024,Qua'an Pan,Plateau,5.91305542,1869,68
Lafagu,2024,Bagudo,Kebbi,2.641523361,1464,83
Lafia,2024,Dekina,Kogi,9.170965195,1096,16
LAFIAGI,2024,Edu,Kwara,5.375072956,1321,94
LAGOS,2024,Eti-Osa,Lagos,7.025511742,515,34
Lalupon,2024,Lagelu,Oyo,6.139743328,1466,58
Lame,2024,Toro,Bauchi,4.545341492,1713,5
Laminga,2024,Nasarawa,Nasarawa,7.414124489,1825,94
Langtang,2024,Langtang North,Plateau,5.287969112,1981,78
Lanlate,2024,Ibarapa East,Oyo,5.896952629,1623,85
Lantewa,2024,Tarmuwa,Yobe,1.865972638,515,70
Lapai,2024,Lapai,Niger,6.369867325,475,84
Lau,2024,Lau,Taraba,3.377103567,1424,41
Lema,2024,Arewa,Kebbi,2.662920237,1810,50
LERE,2024,Tafawa Balewa,Bauchi,4.718997955,1006,65
Letugbene,2024,Ekeremor,Bayelsa,5.931179523,278,67
Libba,2024,Maiyama,Kebbi,3.042101145,1593,31
Limanti,2024,Mafa,Borno,1.283611536,396,94
Little Gombi,2024,Gombi,Adamawa,1.64759922,208,22
Ljaiye,2024,Itesiwaju,Oyo,4.127483368,704,30
LOGOMANI,2024,Ngala,Borno,1.043029547,297,57
LOKOJA,2024,Lokoja,Kogi,9.098575592,345,94
Lollo,2024,Bagudo,Kebbi,3.192442179,887,55
Madalla,2024,Suleja,Niger,6.514309883,798,15
Madara,2024,Katagum,Bauchi,2.676542044,653,79
Mafa,2024,Mafa,Borno,1.333468437,217,12
Magami,2024,Gusau,Zamfara,4.15355587,616,64
Magumeri,2024,Magumeri,Borno,1.531239629,1348,71
Mahuta,2024,Fakai,Kebbi,3.348439455,184,69
Mai Gora,2024,Faskari,Katsina,4.247898579,237,28
MAIDUGURI,2024,Maiduguri,Borno,1.079016447,539,39
Maigatari,2024,Maigatari,Jigawa,3.338690519,136,96
Maiha,2024,Maiha,Adamawa,1.234967828,990,37
Maimadi,2024,Alkaleri,Bauchi,2.899234533,1419,79
Mainok,2024,Kaga,Borno,1.440370202,1666,93
Maiyema,2024,Maiyama,Kebbi,2.610260487,553,49
MAKURDI,2024,Makurdi,Benue,8.225087166,1540,76
Mala,2024,Gassol,Taraba,5.332855225,178,43
Malissa,2024,Gwandu,Kebbi,2.750348806,1489,39
Mallamji,2024,Tureta,Sokoto,3.412787199,1399,89
Malum Maja,2024,Dikwa,Borno,1.222020149,909,37
Malumfashi,2024,Malumfashi,Katsina,4.591081619,1028,47
Mamu,2024,Ijebu North,Ogun,6.822021961,1098,98
Manegi,2024,Mashegu,Niger,3.940139055,220,52
Mani,2024,Mani,Katsina,4.417426586,1013,48
Manmagi,2024,Gbako,Niger,5.244356155,1031,71
Manu,2024,Tangaza,Sokoto,2.110535145,1557,99
Maradun,2024,Maradun,Zamfara,3.901273966,1894,79
Marafa,2024,Fakai,Kebbi,3.164027929,1766,31
Mararaba,2024,Donga,Taraba,6.099319935,302,17
Marguba,2024,Kaga,Borno,1.383846283,753,12
Marnona,2024,Wurno,Sokoto,2.973476887,959,96
Marte,2024,Marte,Borno,0.966334581,809,79
Masba,2024,Konduga,Borno,0.844150603,878,30
Mashe,2024,Edu,Kwara,5.015404224,1183,31
Matani,2024,Toto,Nasarawa,7.954984665,1444,37
Matari,2024,Soba,Kaduna,4.930407047,291,72
Mato,2024,Shendam,Plateau,5.817873478,451,38
Matsena,2024,Machina,Yobe,3.020917892,909,21
Mayaki,2024,Lapai,Niger,6.514615059,352,100
Mayo Faran,2024,Mayo Belwa,Adamawa,2.951821089,117,13
Mayo Lope,2024,Demsa,Adamawa,2.511235952,730,90
Mayo Ndaga,2024,Sardauna,Taraba,5.087281227,1922,30
Mbara,2024,Vandeikya,Benue,7.544997215,145,7
Meko,2024,Imeko Afon,Ogun,5.356071472,1066,33
Meori,2024,Yusufari,Yobe,2.534749985,1155,97
MINNA,2024,Chanchaga,Niger,5.547988415,1804,73
Miringa,2024,Biu,Borno,2.1526196,1015,16
Misau,2024,Misau,Bauchi,2.674890518,308,17
Miya,2024,Ganjuwa,Bauchi,3.436645269,1100,80
Mogo,2024,Agwara,Niger,3.104929686,580,63
MOKWA,2024,Mokwa,Niger,4.343908787,1985,22
Monguno,2024,Monguno,Borno,0.91421628,1916,24
Moniya,2024,Akinyele,Oyo,6.148748875,1295,16
Monkin,2024,Zing,Taraba,3.091124773,106,65
Mopa,2024,Mopa Muro,Kogi,7.147153854,1386,28
Moriki,2024,Zurmi,Zamfara,3.845708847,519,93
Moroa,2024,Akwanga,Nasarawa,6.326856136,492,88
Mosalachi,2024,Mokwa,Niger,6.174878597,506,80
Moshi,2024,Kaiama,Kwara,2.93851018,1481,39
Mubi,2024,Mubi South,Adamawa,0.956073582,868,61
Muduru,2024,Mani,Katsina,4.323386192,200,100
Mule,2024,Mashegu,Niger,3.366388083,1174,82
Mulgai,2024,Damboa,Borno,0.580082953,555,24
Mungadi,2024,Maiyama,Kebbi,2.766537905,1082,56
Murba,2024,Damaturu,Yobe,1.943371892,1401,30
Muri,2024,Karim-Lamido,Taraba,3.898735046,1552,9
Musawa,2024,Musawa,Katsina,4.660055161,111,92
Mutum Biyu,2024,Gassol,Taraba,4.517114639,1615,7
Mutumji,2024,Maru,Zamfara,3.929911852,2000,36
Muya,2024,Birnin Gwari,Kaduna,4.297987461,579,80
NAFADA,2024,Nafada,Gombe,2.252304316,534,12
Namu,2024,Qua'an Pan,Plateau,6.380913734,896,63
Nasarawa,2024,Shanga,Kebbi,3.543065786,1159,5
NASARAWA,2024,Nasarawa,Nasarawa,2.674468517,620,77
Nasarawa,2024,Bukkuyum,Zamfara,7.497606277,1352,21
Ndashe,2024,Lapai,Niger,7.103387833,424,91
Ngamdu,2024,Kaga,Borno,1.732869744,1016,83
Ngelewa,2024,Marte,Borno,1.033913851,266,28
Ngurore,2024,Yola South,Adamawa,2.445582867,1840,64
NGURU,2024,Nguru,Yobe,3.042348385,347,34
Nikrowa,2024,Ovia South-West,Edo,7.934116364,183,56
Ningi,2024,Ningi,Bauchi,4.36863327,1026,48
Nsukka,2024,Nsukka,Enugu,8.926091194,1194,19
Nugmagi,2024,Lapai,Niger,7.496704578,679,51
Nugurosoye,2024,Bama,Borno,1.493159056,419,100
Numan,2024,Numan,Adamawa,2.063327789,1354,72
Obi,2024,Obi,Nasarawa,6.586702347,256,97
Obudu,2024,Obudu,Cross River,7.269352436,1615,83
Odenyi,2024,Bassa,Kogi,8.68021965,1785,51
Odo-Ogun,2024,Oyo West,Oyo,5.162352085,1097,45
OFFA,2024,Offa,Kwara,6.070194244,1505,76
OGBOMOSHO,2024,Ogbomosho North,Oyo,4.818058491,1457,92
Ogboro,2024,Saki East,Oyo,3.564813137,518,51
Ogidigbe,2024,Warri South West,Delta,6.364681721,283,58
OGOJA,2024,Ogoja,Cross River,7.990908623,233,79
Ogunbayo,2024,Ifelodun,Kwara,5.201025009,797,12
Oji River Settlement,2024,Oji River,Enugu,9.140763283,495,92
Okarki,2024,Ahoada West,Rivers,6.844867229,105,38
Oke Igbira,2024,Ikole,Ekiti,7.266095161,1627,72
OKE-IHO,2024,Kajola,Oyo,4.548035622,1087,57
Oke-Ile,2024,Iwajowa,Oyo,4.82834816,1367,9
Okeluse,2024,Ovia North-East,Edo,8.502792358,1156,28
Oke-Mesi,2024,Ekiti West,Ekiti,6.175334454,1444,84
OKENE,2024,Adavi,Kogi,8.834539413,1761,44
Okha,2024,Ovia South-West,Edo,8.192176819,1889,21
Okigwi,2024,Okigwe,Imo,8.256641388,385,58
Okitipupa,2024,Okitipupa,Ondo,7.491402149,1856,43
Okolushe-Egboro,2024,Pategi,Kwara,5.983307838,189,58
Okpari,2024,Ughelli South,Delta,8.147605896,415,87
Okpiniama,2024,Ogbia,Bayelsa,6.033017635,1801,33
Okum Alfa,2024,Eti-Osa,Lagos,6.489609241,214,96
Okumbiri,2024,Brass,Bayelsa,4.866109848,806,27
Okuta,2024,Baruten,Kwara,2.866541147,1365,13
Okwele,2024,Onuimo,Imo,8.508618355,1676,65
Ola,2024,Abeokuta North,Ogun,5.632201672,1719,42
Olojudro,2024,Oluyole,Oyo,6.653790951,353,7
Olugo,2024,Ankpa,Kogi,8.900968552,119,9
Omolomo,2024,Warri North,Delta,6.25967741,484,16
Omu-Aran,2024,Irepodun,Kwara,5.677546024,459,16
Omuo,2024,Ekiti East,Ekiti,7.234538078,808,85
ONDO,2024,Ondo West,Ondo,7.53648901,1774,84
ONITSHA,2024,Onitsha North,Anambra,9.004768372,1571,75
Ora,2024,Ovia North-East,Edo,7.681739807,159,52
Orah,2024,Ovia South-West,Edo,7.295667171,892,86
Ore,2024,Odigbo,Ondo,7.572168827,1319,44
Oro,2024,Irepodun,Kwara,5.136079788,327,51
Orogun,2024,Ndokwa West,Delta,7.832510948,1618,34
Oron,2024,Oron,Akwa Ibom,5.433649063,594,42
Oru,2024,Ijebu North,Ogun,6.921591282,1738,66
Osenseni,2024,Kogi,Kogi,7.727938175,688,24
OSHOGBO,2024,Osogbo,Osun,5.714000702,1973,95
Osi,2024,Ekiti,Kwara,6.14247036,1588,57
Otuan,2024,Southern Ijaw,Bayelsa,6.689962387,714,74
Otun,2024,Moba,Ekiti,6.438009262,174,61
Oturkpo,2024,Otukpo,Benue,8.834535599,1111,81
Oviri,2024,Okpe,Delta,7.620756149,1662,37
Owerri,2024,Owerri Municipal,Imo,7.731338024,584,10
OWO,2024,Owo,Ondo,8.299119949,1746,69
OYO,2024,Oyo East,Oyo,5.786064625,1924,5
Pai,2024,Wushishi,Niger,4.893897057,496,5
Paiko,2024,Paikoro,Niger,5.129368305,916,8
Pambeguwa,2024,Kubau,Kaduna,5.258202553,412,49
Pandam,2024,Karu,Nasarawa,6.009030819,272,39
Pandogari,2024,Rafi,Niger,4.79361248,1040,73
PANKSHIN,2024,Pankshin,Plateau,5.166023731,1908,33
Panyam,2024,Mangu,Plateau,5.745015144,877,18
Papalanto,2024,Ewekoro,Ogun,6.876820087,1470,87
Pari,2024,Kajuru,Kaduna,5.369012833,904,15
Pate,2024,Abaji,Federal Capital Territory,6.906515598,1579,66
Pategi,2024,Pategi,Kwara,6.154881477,1371,43
Pinau,2024,Wase,Plateau,4.943604946,1769,80
Pizhi,2024,Lavun,Niger,4.159049988,1253,87
PORT HARCOURT,2024,Port Harcourt,Rivers,6.283058643,303,7
POTISKUM,2024,Potiskum,Yobe,2.661676884,1670,18
Pupanyunyu,2024,Askira/Uba,Borno,0.667173624,1096,15
Putuk,2024,Alkaleri,Bauchi,2.965121746,215,55
Rafin Dinga,2024,Ningi,Bauchi,4.189219475,1888,30
Rafin Tsaka,2024,Arewa,Kebbi,2.813573122,1920,81
Rahama,2024,Lere,Kaduna,5.325032711,658,49
RAKA,2024,Gwadabawa,Sokoto,2.513362169,921,6
Randeggi,2024,Birnin Gwari,Kaduna,4.393027782,897,40
Rano,2024,Rano,Kano,4.375077248,211,65
Rauta,2024,Bauchi,Bauchi,3.877772093,1536,65
Rijau,2024,Rijau,Niger,3.014427662,658,94
RINGIM,2024,Ringim,Jigawa,4.184796333,1983,88
Rinjim Mukur,2024,Toro,Bauchi,5.007684708,1341,84
Ruan Badu,2024,Maradun,Zamfara,3.698858976,511,97
Rurum,2024,Rano,Kano,4.763383389,479,15
Rusu,2024,Gusau,Zamfara,4.516126156,704,13
Ruwan Doruwa,2024,Bungudu,Zamfara,3.629966021,402,100
Ruwan Jema,2024,Bukkuyum,Zamfara,3.855463982,1190,57
Sabon Birni,2024,Igabi,Kaduna,4.909257889,410,62
Sabon Gari,2024,Toro,Bauchi,2.514137506,1636,65
Sabon Gari,2024,Darazo,Bauchi,2.933358908,1554,19
Sabon Gari,2024,Koko/Besse,Kebbi,4.337476254,610,26
Sabon Gida,2024,Borgu,Niger,3.057089806,1022,86
Sade,2024,Darazo,Bauchi,3.506078482,217,87
Saforogbon,2024,Ese Odo,Ondo,7.747204781,568,51
Sainyinan Daji,2024,Tambuwal,Sokoto,3.035400629,1538,40
Sakaba,2024,Sakaba,Kebbi,4.279644489,1529,54
Sakke,2024,Wasagu/Danko,Kebbi,3.657423973,1517,6
Sakwabe,2024,Arewa,Kebbi,2.316803694,809,63
Salka,2024,Magama,Niger,3.338639975,1124,89
Samamiya,2024,Gwaram,Jigawa,3.548738718,1247,14
Samia,2024,Bagudo,Kebbi,2.600568771,832,44
Sanbi,2024,Bagudo,Kebbi,2.173361778,427,48
Sansanne,2024,Gassol,Taraba,5.256973267,1621,8
Sanusi,2024,Odeda,Ogun,6.231278896,1880,85
SAPELE,2024,Sapele,Delta,7.496910572,1487,29
SARKIN PAWA,2024,Muya,Niger,5.102186203,1151,97
Sauri,2024,Tsafe,Zamfara,4.242958546,288,64
Sendirdi,2024,Gassol,Taraba,5.07884264,634,54
Serti,2024,Gashaka,Taraba,5.297506809,1596,35
Shagamu,2024,Shagamu,Ogun,7.038710594,124,7
SHAKI,2024,Saki West,Oyo,3.71655941,1349,85
Shamaki,2024,Ningi,Bauchi,3.731384277,527,83
Shani,2024,Shani,Borno,2.111798286,584,99
Shanono,2024,Shanono,Kano,4.578444004,675,18
Share,2024,Ifelodun,Kwara,4.30954504,366,52
Shemankar,2024,Shendam,Plateau,5.80069828,1480,90
Shendam,2024,Shendam,Plateau,5.542812824,1473,8
Shika,2024,Mokwa,Niger,3.262177944,966,44
Shinaka,2024,Goronyo,Sokoto,2.792014599,1545,19
Shiwun,2024,Obafemi Owode,Ogun,6.42323637,1052,22
Shomulekiri,2024,Kabba/Bunu,Kogi,7.03786087,915,73
Shonga,2024,Edu,Kwara,4.667137146,584,18
Siluko,2024,Ovia South-West,Edo,7.450662136,550,17
Sitti,2024,Sumaila,Kano,4.506550789,218,46
Soba,2024,Soba,Kaduna,4.975445747,1010,38
Sofo-Birnin-Gwari,2024,Birnin Gwari,Kaduna,4.085734844,230,86
Sogaga,2024,Kubau,Kaduna,4.959591389,1963,9
SOKOTO,2024,Sokoto South,Sokoto,2.466088533,1031,55
Song,2024,Song,Adamawa,1.393566847,910,94
Sugu,2024,Ganye,Adamawa,3.519650221,1482,41
Sumaila,2024,Sumaila,Kano,4.430047989,195,42
Suntai,2024,Bali,Taraba,5.171104908,285,10
Suru,2024,Suru,Kebbi,3.006017447,106,70
Suya,2024,Baruten,Kwara,2.788718462,1422,28
Swate,2024,Borgu,Niger,2.502024412,829,75
Tafawa Balewa,2024,Tafawa Balewa,Bauchi,4.087610722,717,7
Takai,2024,Takai,Kano,4.073722363,1803,99
Taki,2024,Kabba/Bunu,Kogi,7.744959831,779,16
TAKUM,2024,Takum,Taraba,6.423516273,1490,33
Takura,2024,Kwali,Federal Capital Territory,7.25665617,1002,69
Takuti,2024,Lapai,Niger,5.85855484,909,74
Talata Mafara,2024,Talata Mafara,Zamfara,4.333914757,1995,85
Tando,2024,Abaji,Federal Capital Territory,6.536750317,166,5
Tapa,2024,Ibarapa North,Oyo,5.924012184,1357,34
Tapkin Fuss,2024,Gudu,Sokoto,2.06140399,670,96
Taramal,2024,Alkaleri,Bauchi,4.246909618,1237,23
Tegina,2024,Rafi,Niger,4.768931866,1140,64
Tepe,2024,Fufure,Adamawa,1.515148044,800,6
Tilli,2024,Bunza,Kebbi,2.913016319,1310,73
Tongo,2024,Funakaye,Gombe,2.338671684,1931,81
Tor Donga,2024,Katsina Ala,Benue,6.867256641,937,86
Toto,2024,Toto,Nasarawa,7.685571194,1492,16
Toungo,2024,Toungo,Adamawa,3.605281591,755,32
Tsamiya,2024,Tureta,Sokoto,3.262124062,1399,18
Tsanni,2024,Batagarawa,Katsina,4.077703953,818,27
Tswafu,2024,Mashegu,Niger,3.781378508,1992,77
Tudun Quardo,2024,Chikun,Kaduna,4.430987358,1125,57
Tudun Wada,2024,Tudun Wada,Kano,4.543982506,1520,8
Tukudawa,2024,Isa,Sokoto,3.551202774,1973,89
Tundun Sakwa,2024,Chikun,Kaduna,4.778046131,463,100
Tunga Laila,2024,Shanga,Kebbi,2.871328592,434,48
Tungan Gimba,2024,Lafia,Nasarawa,6.918673038,1759,8
Udubo,2024,Gamawa,Bauchi,2.892898083,175,84
Ugbenu,2024,Ethiope West,Delta,8.464212418,433,65
Ugep,2024,Yakuur,Cross River,7.917098522,1326,44
Ugumji,2024,Ganjuwa,Bauchi,3.438267231,827,6
Uke,2024,Karu,Nasarawa,6.903244019,1571,31
Ukehe,2024,Igbo Etiti,Enugu,9.248558998,1631,15
Ulmiri,2024,Yusufari,Yobe,2.43821907,1405,16
Umuahia,2024,Umuahia North,Abia,8.133096695,1723,33
Umunede,2024,Ika North East,Delta,8.361436844,1140,47
Ungwan Zakara,2024,Birnin Gwari,Kaduna,4.499311447,1253,85
Ungwar Amere,2024,Jema'a,Kaduna,6.254779816,1058,70
Unkwoi,2024,Mariga,Niger,3.773753405,922,76
UROMI,2024,Esan North-East,Edo,8.460350037,1347,83
Uvbe,2024,Uhunmwonde,Edo,8.533462524,411,57
Uyanga Okpo Usun,2024,Akamkpa,Cross River,6.338026047,1110,56
Uyo,2024,Uyo,Akwa Ibom,5.794377804,764,49
Uzawo,2024,Mariga,Niger,3.606598377,1172,62
Wamdewo,2024,Askira/Uba,Borno,1.123788714,337,70
Wamuri,2024,Konduga,Borno,1.343157649,1732,82
Warari,2024,Rijau,Niger,3.071513176,1854,32
WARRI,2024,Warri South,Delta,7.899912357,788,32
Waru,2024,Abuja Municipal,Federal Capital Territory,6.791033745,963,26
Wasagu,2024,Wasagu/Danko,Kebbi,3.746265411,1390,20
WAWA,2024,Borgu,Niger,2.641777992,1200,59
Waya,2024,Kwande,Benue,7.041669369,838,76
Worumokato,2024,Kaiama,Kwara,3.187398672,1841,21
Wudil,2024,Wudil,Kano,4.172346592,1730,55
WUKARI,2024,Wukari,Taraba,6.675586224,1779,36
Wurianka,2024,Shelleng,Adamawa,2.390203238,909,94
Wurio,2024,Gassol,Taraba,5.42291832,1081,99
Wurno,2024,Wurno,Sokoto,2.13511157,409,10
Wuro Yolde,2024,Fufure,Adamawa,1.95981884,327,33
WUYA,2024,Mokwa,Niger,5.88420105,949,55
Wuyo,2024,Bayo,Borno,2.742924929,1605,37
Yajiwa,2024,Konduga,Borno,1.594411492,1151,32
Yako,2024,Kiru,Kano,4.677054882,1623,85
Yalowo,2024,Idanre,Ondo,8.114701271,194,97
Yan Tumaki,2024,Dan Musa,Katsina,4.539833546,125,22
Yango,2024,Talata Mafara,Zamfara,4.211880684,493,6
Yashikera,2024,Baruten,Kwara,2.478089571,1819,82
Yasku,2024,Magumeri,Borno,1.602274418,294,55
Yekami,2024,Ife South,Osun,6.680761337,1582,51
Yenagoa,2024,Yenagoa,Bayelsa,6.754230976,1866,70
Yola,2024,Yola North,Adamawa,2.026244164,435,28
Yusufari,2024,Yusufari,Yobe,2.235818148,713,23
Zaki Biam,2024,Ukum,Benue,6.934437275,1427,55
Zari,2024,Mobbar,Borno,1.598209381,246,43
ZARIA,2024,Zaria,Kaduna,4.632572174,388,28
Zeddi,2024,Jakusko,Yobe,2.495298862,782,44
Zenabi,2024,Doguwa,Kano,4.739120007,120,45
Zhiru,2024,Karim-Lamido,Taraba,4.00042963,687,40
Zindiwa,2024,Gamawa,Bauchi,2.478227139,1132,63
Zogodo,2024,Tarmuwa,Yobe,1.909496307,1652,95
Zongon Daji,2024,Adavi,Kogi,8.403511047,108,7
